tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;6;4000;TT;7;4000;0
;tTT1;78;3000;TT;7;3000;0
;tTT2;22;4000;TT;7;4000;0
;tTT3;49;2000;TT;7;2000;0
;tTT4;2;2000;TT;7;2000;0
;tTT5;14;2000;TT;7;2000;0
;tTT6;4;4000;TT;7;4000;0
;tTT7;44;3000;TT;7;3000;0
;tTT8;2;2000;TT;7;2000;0
;tTT9;34;3000;TT;7;3000;0
;tTT10;2;2000;TT;7;2000;0
;tTT11;16;3000;TT;7;3000;0
;tTT12;27;2000;TT;7;2000;0
;tTT13;6;4000;TT;7;4000;0
;tTT14;77;2000;TT;7;2000;0
;tTT15;78;4000;TT;7;4000;0
;tTT16;9;3000;TT;7;3000;0
;tTT17;94;4000;TT;7;4000;0
;tTT18;2;3000;TT;7;3000;0
;tTT19;34;3000;TT;7;3000;0
;tTT20;57;4000;TT;7;4000;0
;tTT21;15;4000;TT;7;4000;0
;tTT22;6;2000;TT;7;2000;0
;tTT23;29;4000;TT;7;4000;0
;tTT24;155;4000;TT;7;4000;0
;tTT25;11;4000;TT;7;4000;0
;tTT26;12;2000;TT;7;2000;0
;tTT27;4;2000;TT;7;2000;0
;tTT28;7;2000;TT;7;2000;0
;tTT29;27;2000;TT;7;2000;0
;tET17;23;4000;ET;0;1856;1
;tET8;75;4000;ET;0;1502;2
;tET9;115;3000;ET;0;1421;2
;tET10;28;3000;ET;1;1396;3
;tET11;3;3000;ET;1;1289;2
;tET6;3;3000;ET;1;1231;3
;tET14;47;4000;ET;1;1186;1
;tET18;125;4000;ET;2;1170;3
;tET15;138;4000;ET;2;1092;1
;tET4;8;3000;ET;2;1071;2
;tET19;21;3000;ET;2;999;2
;tET2;52;3000;ET;3;990;2
;tET16;20;2000;ET;4;966;2
;tET3;8;2000;ET;4;805;2
;tET1;18;2000;ET;4;782;3
;tET13;2;2000;ET;5;740;2
;tET0;19;2000;ET;5;719;2
;tET7;22;2000;ET;5;578;2
;tET12;115;2000;ET;6;577;1
;tET5;47;2000;ET;6;558;1
