tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;1;2000;TT;7;2000;0
;tTT1;3;4000;TT;7;4000;0
;tTT2;3;4000;TT;7;4000;0
;tTT3;1;2000;TT;7;2000;0
;tTT4;5;3000;TT;7;3000;0
;tTT5;13;4000;TT;7;4000;0
;tTT6;13;3000;TT;7;3000;0
;tTT7;22;3000;TT;7;3000;0
;tTT8;1;2000;TT;7;2000;0
;tTT9;39;4000;TT;7;4000;0
;tTT10;17;3000;TT;7;3000;0
;tTT11;10;4000;TT;7;4000;0
;tTT12;1;3000;TT;7;3000;0
;tTT13;7;4000;TT;7;4000;0
;tTT14;4;3000;TT;7;3000;0
;tTT15;42;4000;TT;7;4000;0
;tTT16;2;4000;TT;7;4000;0
;tTT17;33;4000;TT;7;4000;0
;tTT18;1;4000;TT;7;4000;0
;tTT19;6;3000;TT;7;3000;0
;tTT20;8;2000;TT;7;2000;0
;tTT21;17;3000;TT;7;3000;0
;tTT22;2;3000;TT;7;3000;0
;tTT23;2;2000;TT;7;2000;0
;tTT24;2;4000;TT;7;4000;0
;tTT25;17;4000;TT;7;4000;0
;tTT26;6;2000;TT;7;2000;0
;tTT27;19;2000;TT;7;2000;0
;tTT28;13;2000;TT;7;2000;0
;tTT29;20;3000;TT;7;3000;0
;tET11;108;4000;ET;0;1798;1
;tET14;630;4000;ET;0;1618;1
;tET12;57;4000;ET;0;1575;2
;tET19;81;4000;ET;1;1549;1
;tET15;50;3000;ET;1;1473;1
;tET17;68;3000;ET;1;1365;3
;tET0;96;4000;ET;2;1298;1
;tET3;57;3000;ET;2;1292;2
;tET2;84;4000;ET;3;1282;2
;tET13;113;3000;ET;3;1259;3
;tET8;196;3000;ET;3;1216;1
;tET18;67;3000;ET;4;1210;1
;tET16;10;2000;ET;5;929;1
;tET10;5;2000;ET;5;927;3
;tET9;20;3000;ET;6;914;3
;tET5;10;3000;ET;6;819;2
;tET7;193;3000;ET;6;803;2
;tET4;138;2000;ET;6;730;2
;tET6;4;2000;ET;6;646;1
;tET1;6;2000;ET;6;520;1
